지점번호,지점,일시,기온,강수량
108,서울,2017-04-24 08,12.2,
108,서울,2017-04-24 09,14.8,
108,서울,2017-04-24 10,17.6,
108,서울,2017-04-24 11,19.1,
108,서울,2017-04-24 12,20.2,
108,서울,2017-04-24 13,21.1,
108,서울,2017-04-24 14,20.8,
108,서울,2017-04-24 15,20.0,
108,서울,2017-04-24 16,20.1,
108,서울,2017-04-24 17,20.3,
108,서울,2017-04-24 18,18.5,
108,서울,2017-04-24 19,16.5,
108,서울,2017-04-24 20,15.5,
108,서울,2017-04-24 21,14.7,
108,서울,2017-04-24 22,14.0,
108,서울,2017-04-24 23,14.3,
108,서울,2017-04-25 00,14.1,
108,서울,2017-04-25 01,14.0,
108,서울,2017-04-25 02,14.0,
108,서울,2017-04-25 03,13.5,
108,서울,2017-04-25 04,13.7,
108,서울,2017-04-25 05,13.5,
108,서울,2017-04-25 06,13.2,
108,서울,2017-04-25 07,13.2,
108,서울,2017-04-25 08,15.1,
108,서울,2017-04-25 09,15.7,
108,서울,2017-04-25 10,16.8,
108,서울,2017-04-25 11,18.6,
108,서울,2017-04-25 12,19.4,
108,서울,2017-04-25 13,20.1,
108,서울,2017-04-25 14,20.3,
108,서울,2017-04-25 15,19.8,
108,서울,2017-04-25 16,19.6,
108,서울,2017-04-25 17,18.8,
108,서울,2017-04-25 18,17.8,
108,서울,2017-04-25 19,16.9,
108,서울,2017-04-25 20,15.2,
108,서울,2017-04-25 21,14.7,
108,서울,2017-04-25 22,14.1,
108,서울,2017-04-25 23,13.8,
108,서울,2017-04-26 00,14.1,
108,서울,2017-04-26 01,13.6,
108,서울,2017-04-26 02,13.2,
108,서울,2017-04-26 03,12.8,
108,서울,2017-04-26 04,12.2,
108,서울,2017-04-26 05,11.6,
108,서울,2017-04-26 06,10.9,
108,서울,2017-04-26 07,10.7,
108,서울,2017-04-26 08,12.4,
108,서울,2017-04-26 09,14.4,
108,서울,2017-04-26 10,16.4,
108,서울,2017-04-26 11,18.1,
108,서울,2017-04-26 12,19.4,
108,서울,2017-04-26 13,19.2,
108,서울,2017-04-26 14,19.7,
108,서울,2017-04-26 15,19.9,
108,서울,2017-04-26 16,19.6,
108,서울,2017-04-26 17,18.9,
108,서울,2017-04-26 18,17.8,
108,서울,2017-04-26 19,16.1,
108,서울,2017-04-26 20,14.6,
108,서울,2017-04-26 21,13.9,
108,서울,2017-04-26 22,13.1,
108,서울,2017-04-26 23,12.3,
108,서울,2017-04-27 00,11.7,
108,서울,2017-04-27 01,11.0,
108,서울,2017-04-27 02,10.8,
108,서울,2017-04-27 03,9.9,
108,서울,2017-04-27 04,9.2,
108,서울,2017-04-27 05,8.5,
108,서울,2017-04-27 06,7.9,
108,서울,2017-04-27 07,9.1,
108,서울,2017-04-27 08,11.2,
108,서울,2017-04-27 09,13.4,
108,서울,2017-04-27 10,14.9,
108,서울,2017-04-27 11,17.0,
108,서울,2017-04-27 12,18.2,
108,서울,2017-04-27 13,18.8,
108,서울,2017-04-27 14,19.2,
108,서울,2017-04-27 15,19.4,
108,서울,2017-04-27 16,18.6,
108,서울,2017-04-27 17,17.9,
108,서울,2017-04-27 18,16.6,
108,서울,2017-04-27 19,15.0,
108,서울,2017-04-27 20,13.3,
108,서울,2017-04-27 21,12.3,
108,서울,2017-04-27 22,11.7,
108,서울,2017-04-27 23,11.1,
108,서울,2017-04-28 00,10.9,
108,서울,2017-04-28 01,10.7,
108,서울,2017-04-28 02,10.5,
108,서울,2017-04-28 03,10.1,
108,서울,2017-04-28 04,9.5,
108,서울,2017-04-28 05,9.2,
108,서울,2017-04-28 06,9.0,
108,서울,2017-04-28 07,9.5,
108,서울,2017-04-28 08,11.4,
108,서울,2017-04-28 09,14.4,
108,서울,2017-04-28 10,16.7,
108,서울,2017-04-28 11,18.7,
108,서울,2017-04-28 12,20.1,
108,서울,2017-04-28 13,20.9,
108,서울,2017-04-28 14,20.9,
108,서울,2017-04-28 15,20.3,
108,서울,2017-04-28 16,19.6,
108,서울,2017-04-28 17,18.3,
108,서울,2017-04-28 18,16.9,
108,서울,2017-04-28 19,15.5,
108,서울,2017-04-28 20,13.9,
108,서울,2017-04-28 21,12.8,
108,서울,2017-04-28 22,12.2,
108,서울,2017-04-28 23,11.7,
108,서울,2017-04-29 00,11.5,
108,서울,2017-04-29 01,11.3,
108,서울,2017-04-29 02,10.9,
108,서울,2017-04-29 03,10.5,
108,서울,2017-04-29 04,10.2,
108,서울,2017-04-29 05,9.9,
108,서울,2017-04-29 06,9.6,
108,서울,2017-04-29 07,10.1,
108,서울,2017-04-29 08,13.0,
108,서울,2017-04-29 09,15.5,
108,서울,2017-04-29 10,17.4,
108,서울,2017-04-29 11,19.7,
108,서울,2017-04-29 12,21.6,
108,서울,2017-04-29 13,22.1,
108,서울,2017-04-29 14,23.1,
108,서울,2017-04-29 15,23.5,
108,서울,2017-04-29 16,23.5,
108,서울,2017-04-29 17,22.6,
108,서울,2017-04-29 18,21.7,
108,서울,2017-04-29 19,20.1,
108,서울,2017-04-29 20,19.2,
108,서울,2017-04-29 21,18.2,
108,서울,2017-04-29 22,17.3,
108,서울,2017-04-29 23,16.6,
108,서울,2017-04-30 00,16.2,
108,서울,2017-04-30 01,16.0,
108,서울,2017-04-30 02,15.8,
108,서울,2017-04-30 03,15.6,
108,서울,2017-04-30 04,14.9,
108,서울,2017-04-30 05,14.0,
108,서울,2017-04-30 06,13.7,
108,서울,2017-04-30 07,14.3,
108,서울,2017-04-30 08,16.4,
108,서울,2017-04-30 09,18.2,
108,서울,2017-04-30 10,20.3,
