LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-19 14,3.6,
108,서울,2017-01-19 15,4.6,
108,서울,2017-01-19 16,4.0,
108,서울,2017-01-19 17,1.5,
108,서울,2017-01-19 18,0.1,
108,서울,2017-01-19 19,-0.4,
108,서울,2017-01-19 20,-1.1,
108,서울,2017-01-19 21,-1.4,
108,서울,2017-01-19 22,-1.6,
108,서울,2017-01-19 23,-1.4,
108,서울,2017-01-20 00,-1.4,
108,서울,2017-01-20 01,-1.7,
108,서울,2017-01-20 02,-1.5,
108,서울,2017-01-20 03,-2.1,0.1
108,서울,2017-01-20 04,-2.8,
108,서울,2017-01-20 05,-3.2,
108,서울,2017-01-20 06,-3.8,3.3
108,서울,2017-01-20 07,-4.0,
108,서울,2017-01-20 08,-4.1,
108,서울,2017-01-20 09,-4.2,0.6
108,서울,2017-01-20 10,-4.4,
108,서울,2017-01-20 11,-4.1,
108,서울,2017-01-20 12,-4.5,
108,서울,2017-01-20 13,-4.2,
108,서울,2017-01-20 14,-3.3,
108,서울,2017-01-20 15,-2.6,
108,서울,2017-01-20 16,-1.9,
108,서울,2017-01-20 17,-3.2,
108,서울,2017-01-20 18,-4.3,
108,서울,2017-01-20 19,-5.0,
108,서울,2017-01-20 20,-5.6,
108,서울,2017-01-20 21,-6.2,
108,서울,2017-01-20 22,-7.0,
108,서울,2017-01-20 23,-7.4,
108,서울,2017-01-21 00,-7.8,
108,서울,2017-01-21 01,-8.4,
108,서울,2017-01-21 02,-8.5,
108,서울,2017-01-21 03,-9.3,
108,서울,2017-01-21 04,-9.1,
108,서울,2017-01-21 05,-9.6,
108,서울,2017-01-21 06,-9.9,
108,서울,2017-01-21 07,-9.9,
108,서울,2017-01-21 08,-9.3,
108,서울,2017-01-21 09,-8.3,0.0
108,서울,2017-01-21 10,-6.2,
108,서울,2017-01-21 11,-4.1,
108,서울,2017-01-21 12,-3.1,0.0
108,서울,2017-01-21 13,-1.0,
108,서울,2017-01-21 14,-1.2,
108,서울,2017-01-21 15,-2.0,0.1
108,서울,2017-01-21 16,-2.2,
108,서울,2017-01-21 17,-2.5,
108,서울,2017-01-21 18,-2.4,1.3
108,서울,2017-01-21 19,-2.8,
108,서울,2017-01-21 20,-3.1,
108,서울,2017-01-21 21,-3.5,0.0
108,서울,2017-01-21 22,-4.2,
108,서울,2017-01-21 23,-4.2,
108,서울,2017-01-22 00,-3.3,0.7
108,서울,2017-01-22 01,-4.3,
108,서울,2017-01-22 02,-5.9,
108,서울,2017-01-22 03,-6.9,0.0
108,서울,2017-01-22 04,-7.8,
108,서울,2017-01-22 05,-8.5,
108,서울,2017-01-22 06,-8.9,
108,서울,2017-01-22 07,-9.3,
108,서울,2017-01-22 08,-9.6,
108,서울,2017-01-22 09,-9.4,
108,서울,2017-01-22 10,-8.8,
108,서울,2017-01-22 11,-7.8,
108,서울,2017-01-22 12,-7.6,
108,서울,2017-01-22 13,-6.1,
108,서울,2017-01-22 14,-5.8,
108,서울,2017-01-22 15,-5.4,
108,서울,2017-01-22 16,-5.3,
