지점번호,지점,일시,기온,강수량
108,서울,2017-03-25 11,10.6,,
108,서울,2017-03-25 12,11.4,,
108,서울,2017-03-25 13,12.3,,
108,서울,2017-03-25 14,12.5,,
108,서울,2017-03-25 15,12.4,,
108,서울,2017-03-25 16,11.5,,
108,서울,2017-03-25 17,10.7,,
108,서울,2017-03-25 18,9.5,,
108,서울,2017-03-25 19,8.0,,
108,서울,2017-03-25 20,6.6,,
108,서울,2017-03-25 21,5.9,,
108,서울,2017-03-25 22,5.7,,
108,서울,2017-03-25 23,5.7,,
108,서울,2017-03-26 00,5.0,,
108,서울,2017-03-26 01,5.2,,
108,서울,2017-03-26 02,5.1,,
108,서울,2017-03-26 03,5.2,,
108,서울,2017-03-26 04,5.2,,
108,서울,2017-03-26 05,5.0,,
108,서울,2017-03-26 06,4.9,,
108,서울,2017-03-26 07,4.8,,
108,서울,2017-03-26 08,5.3,,
108,서울,2017-03-26 09,7.4,,
108,서울,2017-03-26 10,9.3,,
108,서울,2017-03-26 11,10.6,,
108,서울,2017-03-26 12,10.7,,
108,서울,2017-03-26 13,11.1,,
108,서울,2017-03-26 14,11.1,,
108,서울,2017-03-26 15,10.5,,
108,서울,2017-03-26 16,9.7,,
108,서울,2017-03-26 17,8.8,,
108,서울,2017-03-26 18,7.7,,
108,서울,2017-03-26 19,6.6,,
108,서울,2017-03-26 20,6.3,,
108,서울,2017-03-26 21,6.1,,
108,서울,2017-03-26 22,6.0,,
108,서울,2017-03-26 23,5.8,,
108,서울,2017-03-27 00,5.8,,
108,서울,2017-03-27 01,5.6,,
108,서울,2017-03-27 02,5.5,,
108,서울,2017-03-27 03,5.3,,
108,서울,2017-03-27 04,5.2,,
108,서울,2017-03-27 05,5.0,,
108,서울,2017-03-27 06,4.8,,
108,서울,2017-03-27 07,4.5,,
108,서울,2017-03-27 08,5.1,,
108,서울,2017-03-27 09,6.0,,
108,서울,2017-03-27 10,7.3,,
108,서울,2017-03-27 11,8.6,,
108,서울,2017-03-27 12,8.8,,
108,서울,2017-03-27 13,8.7,,
108,서울,2017-03-27 14,9.7,,
108,서울,2017-03-27 15,6.9,0.0,
108,서울,2017-03-27 16,5.4,,
108,서울,2017-03-27 17,6.4,,
108,서울,2017-03-27 18,6.9,0.4,
108,서울,2017-03-27 19,6.5,,
108,서울,2017-03-27 20,5.9,,
108,서울,2017-03-27 21,5.7,,
108,서울,2017-03-27 22,5.1,,
108,서울,2017-03-27 23,4.7,,
108,서울,2017-03-28 00,4.4,,
108,서울,2017-03-28 01,4.1,,
108,서울,2017-03-28 02,3.8,,
108,서울,2017-03-28 03,3.4,,
108,서울,2017-03-28 04,3.0,,
108,서울,2017-03-28 05,2.5,,
108,서울,2017-03-28 06,2.7,,
108,서울,2017-03-28 07,2.9,,
108,서울,2017-03-28 08,3.9,,
108,서울,2017-03-28 09,5.4,,
108,서울,2017-03-28 10,6.8,,
108,서울,2017-03-28 11,8.2,,
108,서울,2017-03-28 12,9.9,,
108,서울,2017-03-28 13,12.0,,
108,서울,2017-03-28 14,12.4,,
108,서울,2017-03-28 15,12.5,,
108,서울,2017-03-28 16,12.0,,
108,서울,2017-03-28 17,11.1,,
108,서울,2017-03-28 18,10.1,,
108,서울,2017-03-28 19,8.8,,
108,서울,2017-03-28 20,8.0,,
108,서울,2017-03-28 21,7.4,,
108,서울,2017-03-28 22,6.9,,
108,서울,2017-03-28 23,6.3,,
108,서울,2017-03-29 00,5.5,,
108,서울,2017-03-29 01,5.2,,
108,서울,2017-03-29 02,5.0,,
108,서울,2017-03-29 03,4.9,,
108,서울,2017-03-29 04,5.0,,
108,서울,2017-03-29 05,4.7,,
108,서울,2017-03-29 06,4.8,,
108,서울,2017-03-29 07,4.8,,
108,서울,2017-03-29 08,5.4,,
108,서울,2017-03-29 09,7.1,,
108,서울,2017-03-29 10,9.5,,
108,서울,2017-03-29 11,11.0,,
108,서울,2017-03-29 12,12.7,,
108,서울,2017-03-29 13,14.0,,
108,서울,2017-03-29 14,14.0,,
108,서울,2017-03-29 15,14.3,,
108,서울,2017-03-29 16,13.5,,
108,서울,2017-03-29 17,13.3,,
